,description,domain,sub_domain
0,"Diagnosis and treatment of heart diseases, including heart attacks and hypertension.",Medical,Cardiology
1,Study of the nervous system and related disorders like Alzheimer's and Parkinson's disease.,Medical,Neurology
2,"Treatment of musculoskeletal system issues, including fractures and joint disorders.",Medical,Orthopedics
3,"Diagnosis and treatment of various cancers, including breast cancer and leukemia.",Medical,Oncology
4,"Health care for children, covering vaccinations, growth, and developmental issues.",Medical,Pediatrics
5,Immediate treatment of urgent medical conditions and trauma.,Medical,Emergency Medicine
6,Managing anesthesia and pain relief during surgeries and procedures.,Medical,Anesthesiology
7,Surgical procedures for reconstructive or cosmetic purposes.,Medical,Plastic Surgery
8,"Women's health, including reproductive system disorders and childbirth.",Medical,Gynecology
9,"Study and treatment of hormone-related conditions, such as diabetes and thyroid disorders.",Medical,Endocrinology
10,Diagnosis and treatment of kidney diseases and conditions like dialysis.,Medical,Nephrology
11,Medical imaging techniques for diagnosing and monitoring diseases.,Medical,Radiology
12,Study of diseases by examining tissues and body fluids for diagnosis.,Medical,Pathology
13,"Diagnosis and treatment of infections caused by bacteria, viruses, and other pathogens.",Medical,Infectious Diseases
14,"Health care and management of elderly individuals, focusing on age-related diseases.",Medical,Geriatrics
15,Study and treatment of skin diseases and disorders such as acne and eczema.,Medical,Dermatology
16,Diagnosis and treatment of allergies and immune system disorders.,Medical,Allergy & Immunology
17,"Study and treatment of blood-related diseases, including anemia and clotting disorders.",Medical,Hematology
18,"Surgical procedures for a wide range of conditions, from appendicitis to hernia repair.",Medical,General Surgery
19,"Comprehensive care for adult patients, managing chronic diseases and preventative care.",Medical,Internal Medicine
20,"Management of coronary artery disease, including stent placements and bypass surgeries.",Medical,Cardiology
21,"Treatment for migraines, epilepsy, and neurological disorders affecting the brain.",Medical,Neurology
22,"Joint replacement surgeries for hip, knee, and shoulder, restoring mobility.",Medical,Orthopedics
23,"Chemotherapy, radiation, and targeted therapies for various types of cancer.",Medical,Oncology
24,"Treatment for childhood illnesses, from common colds to chronic conditions like asthma.",Medical,Pediatrics
25,"Trauma care for car accidents, burns, and severe injuries requiring urgent attention.",Medical,Emergency Medicine
26,Anesthesia for elective surgeries and monitoring vital signs during procedures.,Medical,Anesthesiology
