Category,Sub-category,Description
Medical,Cardiology,"Diagnosis and treatment of heart diseases, including heart attacks and hypertension."
Medical,Neurology,"Study of the nervous system and related disorders like Alzheimer's and Parkinson's disease."
Medical,Orthopedics,"Treatment of musculoskeletal system issues, including fractures and joint disorders."
Medical,Oncology,"Diagnosis and treatment of various cancers, including breast cancer and leukemia."
Medical,Pediatrics,"Health care for children, covering vaccinations, growth, and developmental issues."
Medical,Emergency Medicine,"Immediate treatment of urgent medical conditions and trauma."
Medical,Anesthesiology,"Managing anesthesia and pain relief during surgeries and procedures."
Medical,Plastic Surgery,"Surgical procedures for reconstructive or cosmetic purposes."
Medical,Gynecology,"Women's health, including reproductive system disorders and childbirth."
Medical,Endocrinology,"Study and treatment of hormone-related conditions, such as diabetes and thyroid disorders."
Medical,Nephrology,"Diagnosis and treatment of kidney diseases and conditions like dialysis."
Medical,Radiology,"Medical imaging techniques for diagnosing and monitoring diseases."
Medical,Pathology,"Study of diseases by examining tissues and body fluids for diagnosis."
Medical,Infectious Diseases,"Diagnosis and treatment of infections caused by bacteria, viruses, and other pathogens."
Medical,Geriatrics,"Health care and management of elderly individuals, focusing on age-related diseases."
Medical,Dermatology,"Study and treatment of skin diseases and disorders such as acne and eczema."
Medical,Allergy & Immunology,"Diagnosis and treatment of allergies and immune system disorders."
Medical,Hematology,"Study and treatment of blood-related diseases, including anemia and clotting disorders."
Medical,General Surgery,"Surgical procedures for a wide range of conditions, from appendicitis to hernia repair."
Medical,Internal Medicine,"Comprehensive care for adult patients, managing chronic diseases and preventative care."
Medical,Cardiology,"Management of coronary artery disease, including stent placements and bypass surgeries."
Medical,Neurology,"Treatment for migraines, epilepsy, and neurological disorders affecting the brain."
Medical,Orthopedics,"Joint replacement surgeries for hip, knee, and shoulder, restoring mobility."
Medical,Oncology,"Chemotherapy, radiation, and targeted therapies for various types of cancer."
Medical,Pediatrics,"Treatment for childhood illnesses, from common colds to chronic conditions like asthma."
Medical,Emergency Medicine,"Trauma care for car accidents, burns, and severe injuries requiring urgent attention."
Medical,Anesthesiology,"Anesthesia for elective surgeries and monitoring vital signs during procedures."
Medical,Plastic Surgery,"Reconstructive surgeries to repair deformities caused by accidents or congenital issues."
Medical,Gynecology,"Routine gynecological exams, including pap smears and treatment for menstrual disorders."
Medical,Endocrinology,"Management of diabetes, adrenal disorders, and pituitary gland diseases."
Medical,Nephrology,"Dialysis management for chronic kidney disease and renal transplantation."
Medical,Radiology,"CT scans, MRIs, and X-rays for imaging internal organs to diagnose conditions."
Medical,Pathology,"Identifying disease markers and causes by studying tissue samples and body fluids."
Medical,Infectious Diseases,"Treatment of HIV, tuberculosis, and emerging viral diseases like Ebola and COVID-19."
Medical,Geriatrics,"Managing chronic conditions like arthritis, dementia, and osteoporosis in elderly populations."
Medical,Dermatology,"Treatment of skin conditions such as psoriasis, skin cancer, and sunburns."
