description,domain,sub_domain
"The medical domain is the sphere of study in which physicians, nurses and scientists interact with each other.",Medical,Oncology
"Anesthesiology is the medical field in which patients are examined for symptoms. Anesthesiologists treat the underlying cause of the body's dysfunction, which can be life-threatening.",Medical,Anesthesiology
"General Surgery is an international medical discipline that encompasses a broad spectrum of specialized, clinical and therapeutic practice.",Medical,General Surgery
"Endocrinology is a discipline in medicine, which has traditionally focused on the treatment of diseases and disorders of the kidneys. Endocrinology has been used to describe a wide range of diseases and disorders including the autoimmune disease, cancer, Parkinson's disease, the heart disease, and HIV.",Medical,Endocrinology
Emergency medicine refers to the following topics:,Medical,Emergency Medicine
Imjiadis is a type of medicine containing many different kinds of medicines.,Medical,Internal Medicine
The cardiac life cycle is the process of regulating the function of all the organs in the body.,Medical,Cardiology
Medical literature refers to the medical specialty of emergency medicine.,Medical,Emergency Medicine
"Pathology is the study of disease. It encompasses pathological diagnosis, diagnosis, and treatment.",Medical,Pathology
"In the medical domain, Internal Medicine is the medical discipline of medicine.",Medical,Internal Medicine
"Pathology is a field that deals with the diagnosis, treatment, and prevention of disease.",Medical,Pathology
Nephrology is the study of kidney function and kidney conditions in a population that has been isolated from the rest of the population.,Medical,Nephrology
"Dermatology is the study of human skin, hair, and cells.",Medical,Dermatology
Hematology is the study of human organs.,Medical,Hematology
"Internal medicine is the field of medical science. It covers the health of human beings, and its medical practices, and involves the management of diseases, illnesses, and disease.",Medical,Internal Medicine
Radiology in the Medical domain is the study of radiation in medicine.,Medical,Radiology
Orthopedics is the treatment of injuries and disease in the human body.,Medical,Orthopedics
"Endocrinology is a field in medicine, in which the development of endogenous hormones is a focus.",Medical,Endocrinology
"Anesthesiology is the study of the examination of the heart, abdomen, pericardium, and circulatory system.",Medical,Anesthesiology
"Neurology in the Medical domain, also known as medicine and medicine, is a discipline of medicine in which the practice of medicine is concerned with the development of new techniques and technologies in medicine.",Medical,Neurology
Pediatrics is the study of the infant and child.,Medical,Pediatrics
Internal Medicine is a medical specialty in the field of medicine.,Medical,Internal Medicine
Pathology is the study of pathology and a medical specialty.,Medical,Pathology
Cardiology in the Medical domain is the study of disease and health in a medical or scientific discipline.,Medical,Cardiology
"Orthopedics is the branch of medicine that deals with physical injuries, such as concussions.",Medical,Orthopedics
Cardiology is the study of heart function.,Medical,Cardiology
"Hematology is the study of hematology, in which a person is examined to determine the structure and function of their cells. Hematology is the scientific discipline of medicine.",Medical,Hematology
"Orthopedics in the Medical domain is the science of preventing, treating, or evaluating injuries and diseases.",Medical,Orthopedics
Emergency Medicine is the medical discipline that encompasses all the specialized field of medicine.,Medical,Emergency Medicine
The Medical Oncology of the World,Medical,Oncology
Neurology is the study of the development of neurons and their associated functional and functional abnormalities.,Medical,Neurology
"Radiology is the study of the physical, chemical, and biological properties of matter, especially atoms and molecules.",Medical,Radiology
Radiology is the scientific study of a physicist or physiologist. It refers to the development of new diagnostic skills and clinical skills.,Medical,Radiology
Pathology is a discipline of medicine that deals with the study of disease and its treatment. Pathology involves the study of diseases and their treatment.,Medical,Pathology
A doctor's foot is a muscle and the underlying bones are referred to as the hip or spine. The feet are the most common part of the body.,Medical,Orthopedics
Anesthesiology is the study of body parts and tissues that are damaged or hampered by a disease or injury.,Medical,Anesthesiology
The kidney is the specialized organ in a body which contains the kidneys. The kidneys are the primary source of urine and blood.,Medical,Nephrology
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
"Neurology (or neuropathy) is a medical discipline that focuses on the diagnosis, treatment and prevention of diseases in humans and animals.",Medical,Neurology
"Reproductive medicine is an ingenious approach to reproductive health that involves the use of multiple organs. It is an effective way to effectively regulate the reproduction of all animals, including humans, and to improve human quality of life.",Medical,Reproductive Medicine
"The United States Army's medical specialty is Emergency Medicine, and it's a specialized field in the military.",Medical,Emergency Medicine
The United States Geological Survey (USGS) classified the Nephrology of the River Plate as a subdiscipline of kidney disease.,Medical,Nephrology
Anesthesiology is the study of anesthesia.,Medical,Anesthesiology
"Pathology is the study of pathologic and pathologic conditions, including pathology.",Medical,Pathology
Nephrology is the study of kidney function and how it affects the urinary tract.,Medical,Nephrology
Infectious Diseases is a broad term that refers to the medical field of infectious diseases.,Medical,Infectious Diseases
"Oncology is the study of health, disease and disease in the medical and social sciences.",Medical,Oncology
The Emergency Medicine sub-domain of the medical domain consists of the following:,Medical,Emergency Medicine
General Surgery is the medical subfield of medicine.,Medical,General Surgery
Radiology is the study of radiation exposure.,Medical,Radiology
Plastic surgery has been the pioneering treatment of sex.,Medical,Plastic Surgery
Orthopedics is a medical discipline in the medical field.,Medical,Orthopedics
Emergency medicine is the medical field of health care for people with emergency situations.,Medical,Emergency Medicine
"Hematology is a branch of medicine that is concerned with the diagnosis, treatment and treatment of diseases related to the hematolytic cycle.",Medical,Hematology
"Dermatology is the study of skin, hair, and nails.",Medical,Dermatology
"Nephrology is the medical branch of medicine, particularly in the nephronalysis field.",Medical,Nephrology
Dermatology in the Medical domain :,Medical,Dermatology
Plastic Surgery is a surgical procedure that involves surgery to remove a portion of the body.,Medical,Plastic Surgery
"The term General Surgery is used in the medical field, as well as in the general practice and law.",Medical,General Surgery
"Oncology is the term used in medicine to refer to a medical field that is concerned with the diagnosis, treatment, prevention and management of cancer. It includes a broad range of medical fields, from biochemistry to pathology, to biotechnology.",Medical,Oncology
Oncology in the Medical domain is a medical field in which the practice of medicine involves the study and treatment of diseases and disorders in the body.,Medical,Oncology
Cardiology is a medical discipline that deals with vascular and cardiovascular diseases.,Medical,Cardiology
Pediatrics is the academic specialty of medicine.,Medical,Pediatrics
Reproductive Medicine is the broadest domain of medicine.,Medical,Reproductive Medicine
Endocrinology in the Medical domain refers to:,Medical,Endocrinology
Orthopedics is the specialized profession in which the practice of medicine relates to a specific physical or mental condition.,Medical,Orthopedics
Radiology is a medical discipline characterized by the study of the mechanics of radiation and its applications in medicine.,Medical,Radiology
hematology is the study of hematology in the medical domain.,Medical,Hematology
Dermatology is the study of how skin is damaged by damage to the organs and tissues.,Medical,Dermatology
"Radiology is the study of medical radiation. It has many uses and applications, including clinical trials.",Medical,Radiology
"The term ""general surgery"" refers to the surgery done in the general practitioner, surgeon or nurse's office.",Medical,General Surgery
"The field of cancer is an area in which the diagnosis, treatment, prevention, and management of cancer are specialized.",Medical,Oncology
Emergency Medicine is a sub-category of medical specialties in the medical field.,Medical,Emergency Medicine
"The oncology of the brain (in the medical domain) is a subfield of science that deals with brain development, utilizing its function as a sensory input to the brain.",Medical,Oncology
Neurology is the science of medicine and research. It is also the science of health care.,Medical,Neurology
"Pediatrics is the field of medicine that deals with a wide variety of disciplinary topics, including pediatrics and pediatrics. It also deals with medicine of general and clinical origin, as well as medical and forensic science.",Medical,Pediatrics
"Pathology is a medical discipline involving the diagnosis, treatment and diagnosis of diseases and disorders.",Medical,Pathology
Endocrinology in the Medical domain:,Medical,Endocrinology
Nephrology is a branch of medicine that deals with the treatment of kidney diseases.,Medical,Nephrology
Emergency medicine is a subset of medicine in the medical field of medicine.,Medical,Emergency Medicine
"Dermatology is a branch of medicine that deals with the diagnosis and treatment of diseases, and includes dermatology. Dermatology is a branch of allied health sciences.",Medical,Dermatology
"Dermatology is the study of skin, follicles and the skin and hair.",Medical,Dermatology
Radiology is the study of medical radiation.,Medical,Radiology
"Neurology is the study of the nervous system and its physiology. Neurology includes clinical neurology, neuroscience, pathology, epidemiology, sociology, and medicine.",Medical,Neurology
"Pathology is the study of pathological processes in which the body is affected by various conditions. It encompasses a variety of biological diseases and disorders, including rheumatism, Parkinson's disease, fibromyalgia, thrombosis, malignancy, and opportunistic disorder.",Medical,Pathology
Pediatrics is the medical specialty of the Department of Medicine.,Medical,Pediatrics
"Hematology in the Medical domain is the study of organs and tissues that produce hepatocytes, macrophages, lymphocytes and platelets.",Medical,Hematology
The procedure of removing a breast tissue or a fat cell is an important part of the surgical procedure.,Medical,Plastic Surgery
"Emergency Medicine is the medical discipline of medicine which includes emergency medicine, which encompasses all medical disciplines including pathology, pathology, and medicine.",Medical,Emergency Medicine
"Plastic Surgery is a practice of surgery for the treatment of skin conditions such as facial folds, or folds of the body.",Medical,Plastic Surgery
Radiology is the field of medicine.,Medical,Radiology
Pediatrics is the study of how to educate children about their etiology and related areas.,Medical,Pediatrics
Infectious Diseases in the Medical Domain.,Medical,Infectious Diseases
Orthopedics is the use of the physical and chemical properties of bones to support and facilitate joint movement.,Medical,Orthopedics
"General Surgery (also known as ""General Surgery"") is a subdiscipline of medicine in which surgery is primarily a medical procedure.",Medical,General Surgery
"Children's medicine, including pediatrics, is a field in medicine.",Medical,Pediatrics
Anesthesiology is the study of a patient's history of medical conditions. It is often considered a part of the diagnosis of anesthesia.,Medical,Anesthesiology
"Infectious diseases in the medical domain are diseases that can cause a person to have a particular condition or condition, such as illness or injury.",Medical,Infectious Diseases
"Oncology in the Medical domain is an academic discipline which encompasses many disciplines, including bioscience, health sciences, medical anthropology, philosophy, and philosophy of medicine.",Medical,Oncology
Anesthesiology is the science of examining and treating abnormally large or very small blood vessels in the body.,Medical,Anesthesiology
Infectious diseases in the medical domain The following is a list of infectious diseases in the Medical domain:,Medical,Infectious Diseases
"Dermatology is a field of medicine which includes dermatology. Dermatology is also the discipline of dermatology, including skin care, rhinoplasty, dermatology, and gynecology.",Medical,Dermatology
